ANIO;MES;CONGLOMERADO;MUESTRA;SELVIV;HOGAR;C201;REGION;ESTRATO;LLAVE_PANEL;C203;C204;C205;C206;C207;C208;C300n;NROINF;C301_DIA;C301_MES;C301_ANIO;C303;C304;C305;C306_1;C306_2;C306_3;C306_4;C306_5;C306_6;C306_7;C306_8;C306_9;C306_10;C306_10A;C306_11;C308_COD;C309_COD;C310;C311;C317;C317A;C318_1;C318_2;C318_3;C318_4;C318_5;C318_6;C318_7;whoraT;C330;C331;P209H;C335;C338;C339_1;C341_T;C342;C344;C345_1;C348;C347_T;C350;C352;C353;C354;C355;C356;C357_I;C358;C359;SEGURO1;C366;C366_1;C366_2;C375_1;C375_2;C375_3;C375_4;C375_5;C375_6;C376;C377;OCUP300;I339_1;D341_T;I342;D344;I345_1;I348;D347_T;D350;INGTOT;INGTOTP;RESIDENT;fa_fma23
2023;2;17589;1;49;1;1;1;1;2.02202E+17;1;1;2; ;2;44;1;1;22;10;1978;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9629;8411;3;2;5;1000;0;8;8;8;8;8;8;56;1; ;2;2;4;1040; ; ; ; ;200; ;10; ; ; ; ; ; ; ;1;1;8;2; ;2;2;2;2;2;2;10;7;1;1040; ; ; ; ;200; ;10;1250;1040;1;308.2010783
2023;2;19726;1;24;1;1;1;1;2.02302E+17;1;1;2; ;2;77;1;1;8;7;1945;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9112;8121;2; ;1;1;0;0;6;0;0;6;0;17;1; ;2;2; ; ; ;480; ; ;40; ;8; ; ; ; ; ; ; ;1;5;6;5; ;2;2;2;2;2;2;10;7;1; ; ;480; ; ;40; ;8;528;480;1;1034.829495
2023;2;24490;1;86;1;2;1;1;2.02302E+17;3;1;2; ;2;36;2;2;29;4;1986;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2221;8610;3;2;5;2000;0;12;0;12;0;12;0;54;1; ;1;2;4;2800; ; ; ;300; ;75; ; ; ; ; ; ; ; ;1;1;11;5; ;2;2;2;2;2;2;10;7;1;2800; ; ; ;300; ;325; ;3425;2800;1;1368.299572
2023;2;47498;1;18;1;1;1;1;2.02202E+17;1;1;2; ;2;56;1;1;12;8;1966;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9111;9700;6; ;1;1;0;8;0;0;8;0;0;37;1; ;2;2;2;100;24; ; ;900; ;45; ; ; ; ; ; ; ; ;1;1;5;2; ;2;2;2;2;2;2;10;7;1;433;104; ; ;900; ;195; ;1632;537;1;502.1205417
2023;2;23040;1;110;1;2;1;1;2.02302E+17;2;1;2; ;2;32;2;2;18;9;1990;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9334;4921;3;5;1;2;0;0;0;0;12;12;12;72;1; ;2;2;2;135;39; ; ;135; ;39; ; ; ; ; ; ; ; ;1;5;5;3; ;2;2;2;2;2;2;10;8;1;585;169; ; ;135; ;169; ;1058;754;1;1327.854155
2023;2;2980201;1;19;1;2;1;1;2.02302E+19;2;1;2; ;2;37;2;2;23;8;1985;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9533;4799;2; ;1;1;4;1;1;1;1;1;1;30;1; ;2;2; ; ; ;200; ;80; ;30; ; ; ; ; ; ; ; ;1;5;6;5; ;2;2;2;2;2;2;10;7;1; ; ;235; ;80; ;130; ;445;235;1;1327.854155
2023;2;29201;1;23;1;1;1;1;2.02302E+17;1;1;2; ;1;30;1;1;16;4;1992;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8321;4922;2; ;1;1;0;8;8;8;0;8;0;64;2;64;1;2; ; ; ;1504; ;500; ;20; ; ; ; ; ; ; ; ;1;5;6;5; ;2;2;2;2;2;2;10;7;1; ; ;1504; ;500; ;87; ;2091;1504;1;1355.092356
2023;2;27695;1;1;3;2;1;1;2.02205E+17;2;1;2; ;2;49;2;2;9;3;1973;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9111;9700;6; ;1;1;0;10;0;10;0;10;0;50;1; ;1;2;4;800;30; ; ;480; ;20; ; ; ; ; ; ; ; ;1;1;5;3; ;2;2;2;2;2;2;10;8;1;800;130; ; ;480; ;87; ;1497;930;1;560.8809298
2023;2;26068;1;83;1;1;1;1;2.02211E+17;1;1;2; ;1;41;1;1;30;3;1981;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3314;7110;1; ;1;6;12;12;12;12;12;12;12;84;1; ;1;2; ; ; ;30000; ; ; ; ; ; ; ; ; ; ; ; ;1;1;6;5; ;2;2;2;2;2;2;10;7;1; ; ;30000; ; ; ; ; ;30000;30000;1;698.183714
2023;2;19318;1;189;1;4;1;1;2.02202E+17;3;1;2; ;2;25;4;4;22;3;1997;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2643;8550;1; ;1;10;0;10;10;10;10;10;10;60;1; ;2;2; ; ; ;10000; ; ; ; ; ; ; ; ; ; ; ; ;1;5;11;5; ;2;2;2;2;2;2;10;7;1; ; ;10000; ; ; ; ; ;10000;10000;1;683.881807
